customerid,age,marital,education,balance,housing,loan,duration,campaign,pdays,previous,current,deposit
41368,38,married,secondary,105,no,no,244,2,-1,0,1,no
21463,55,married,tertiary,457,yes,no,61,3,-1,0,1,no
56714,35,married,secondary,614,yes,no,242,2,-1,0,1,no
43610,27,single,secondary,-46,yes,no,97,3,199,8,1,no
66347,56,married,secondary,-1122,yes,yes,220,1,-1,0,1,no
5338,58,single,secondary,2223,no,no,1139,2,114,1,1,no
51172,50,married,primary,2636,yes,no,349,2,-1,0,1,no
98918,74,married,secondary,1714,no,no,127,1,-1,0,1,yes
15087,45,married,tertiary,6945,no,no,131,5,356,3,1,no
5950,28,single,secondary,1285,no,no,199,2,2,17,1,no
423,57,married,primary,2892,yes,no,235,5,-1,0,1,no
4607,29,married,tertiary,1022,yes,no,408,1,-1,0,1,no
76264,31,married,secondary,536,yes,no,22,6,-1,0,1,no
44819,34,married,secondary,945,yes,yes,181,1,-1,0,1,no
76683,28,single,secondary,19,no,no,78,4,-1,0,1,no
419,39,married,secondary,1427,yes,no,454,1,-1,0,1,no
25750,33,married,primary,681,yes,no,222,1,-1,0,1,no
40104,51,single,tertiary,11222,yes,no,151,7,-1,0,1,no
83610,38,married,tertiary,1324,yes,no,178,1,-1,0,1,no
59320,31,single,secondary,8304,no,no,164,1,183,1,1,no
66063,26,single,tertiary,592,no,no,145,2,164,1,1,no
89421,46,married,primary,323,yes,no,108,6,-1,0,1,no
78553,33,single,secondary,4436,yes,no,81,6,-1,0,1,no
23208,31,married,secondary,713,yes,no,373,1,-1,0,1,no
51640,67,single,tertiary,2144,no,no,847,2,-1,0,1,yes
40546,57,married,secondary,573,no,no,53,11,-1,0,1,no
88022,40,married,unknown,638,yes,yes,68,3,254,2,1,no
3583,30,single,tertiary,178,yes,no,234,1,-1,0,1,no
28105,44,married,unknown,722,yes,no,269,2,-1,0,1,no
59996,37,divorced,secondary,1448,yes,no,71,2,-1,0,1,no
21416,35,married,tertiary,0,yes,yes,112,1,62,6,1,no
82974,34,single,secondary,3,yes,no,301,1,-1,0,1,no
1596,34,divorced,secondary,1085,no,no,101,7,-1,0,1,yes
21887,37,divorced,secondary,2152,yes,no,200,1,-1,0,1,no
93721,51,single,secondary,3132,no,no,449,1,176,1,1,no
73941,56,married,unknown,1848,yes,no,147,2,260,1,1,no
40394,51,married,primary,2315,no,no,111,2,-1,0,1,no
67145,34,single,secondary,60,no,no,274,2,-1,0,1,no
13697,45,single,secondary,11,no,no,247,1,-1,0,1,no
90326,47,married,primary,52,yes,yes,140,1,-1,0,1,no
55078,30,single,secondary,54,no,no,194,2,-1,0,1,no
22826,57,married,tertiary,1181,no,no,169,2,182,2,1,yes
92113,49,married,primary,61,yes,no,246,1,-1,0,1,no
75494,40,single,tertiary,15,no,yes,4,1,-1,0,1,no
73328,38,married,secondary,121,yes,yes,168,1,212,2,1,no
85785,47,single,tertiary,1192,yes,no,217,2,-1,0,1,no
5681,30,single,tertiary,478,no,no,193,3,-1,0,1,no
78444,40,married,secondary,220,yes,no,69,3,-1,0,1,no
71528,28,single,tertiary,882,no,yes,94,1,205,2,1,no
6465,34,married,secondary,1689,no,no,423,1,-1,0,1,no
55612,51,married,secondary,1377,no,no,9,2,-1,0,1,no
61955,47,single,secondary,594,yes,no,161,1,-1,0,1,no
68291,51,married,secondary,8758,no,no,92,2,-1,0,1,no
10147,53,married,secondary,-689,yes,no,242,1,-1,0,1,no
70349,30,single,tertiary,3026,no,no,251,1,535,1,1,yes
38941,37,married,primary,380,yes,yes,548,2,-1,0,1,no
84587,45,divorced,secondary,54,no,no,83,3,-1,0,1,no
27197,39,married,secondary,1034,yes,no,306,1,-1,0,1,no
74328,47,married,primary,10697,no,no,274,2,-1,0,1,no
87012,33,married,tertiary,2213,no,no,240,1,385,9,1,no
85954,53,married,unknown,28,no,no,117,2,-1,0,1,no
24900,35,married,tertiary,7990,yes,no,357,1,-1,0,1,no
88966,49,married,secondary,298,yes,no,392,3,-1,0,1,no
16343,52,married,secondary,1797,yes,no,92,2,99,1,1,no
68597,42,divorced,secondary,-106,yes,no,495,1,347,3,1,no
17107,32,single,primary,557,yes,no,112,2,-1,0,1,no
56478,35,single,tertiary,7546,yes,no,137,1,122,3,1,no
4359,45,divorced,primary,407,yes,no,196,1,-1,0,1,no
24569,38,married,primary,2569,no,no,172,1,-1,0,1,no
86836,43,married,secondary,128,yes,no,71,1,-1,0,1,no
23150,31,married,tertiary,6562,yes,no,118,2,-1,0,1,no
32962,40,divorced,secondary,9,no,no,154,2,-1,0,1,no
94973,49,married,tertiary,96,no,no,51,2,-1,0,1,no
88251,33,single,secondary,395,yes,no,95,8,-1,0,1,no
61067,58,married,unknown,0,no,no,273,2,-1,0,1,no
56150,32,single,secondary,230,yes,no,442,1,266,8,1,yes
80740,44,married,primary,0,yes,no,408,2,350,1,1,no
38618,28,single,secondary,280,yes,no,142,3,-1,0,1,no
79459,45,single,primary,4289,yes,no,400,1,-1,0,1,no
75179,51,married,secondary,429,no,no,230,2,-1,0,1,no
645,54,married,tertiary,0,no,no,260,7,-1,0,1,no
39096,26,single,primary,1538,no,yes,97,3,-1,0,1,no
79854,54,divorced,primary,308,yes,no,248,3,-1,0,1,no
63412,24,single,secondary,822,no,no,184,1,91,2,1,yes
72070,35,married,secondary,444,yes,no,244,3,-1,0,1,no
38095,57,married,secondary,1179,no,no,189,2,-1,0,1,no
49252,24,single,secondary,1857,yes,no,473,4,-1,0,1,no
89149,42,married,secondary,2145,no,no,124,3,-1,0,1,no
4271,47,married,secondary,458,no,no,66,1,-1,0,1,no
77504,31,married,secondary,520,yes,no,123,7,-1,0,1,no
51054,34,married,primary,-144,yes,no,79,2,-1,0,1,no
75657,55,married,secondary,241,yes,no,14,6,-1,0,1,no
62880,38,married,primary,-326,yes,no,237,3,-1,0,1,no
71375,56,married,tertiary,247,no,no,44,2,-1,0,1,no
64847,44,married,tertiary,121,no,no,248,1,91,1,1,yes
32934,50,married,secondary,464,no,yes,426,2,-1,0,1,no
56387,34,married,secondary,0,yes,no,1025,2,-1,0,1,no
64650,33,divorced,secondary,751,yes,no,237,1,-1,0,1,no
55906,33,married,secondary,968,yes,no,204,5,-1,0,1,no
47155,29,married,tertiary,125,no,no,130,2,-1,0,1,no
18993,33,married,secondary,2711,no,no,184,1,104,1,1,no
8024,41,single,primary,156,yes,no,47,5,-1,0,1,no
98412,58,married,primary,99,yes,no,215,3,-1,0,1,no
56140,34,married,secondary,0,yes,yes,34,2,288,12,1,no
46076,24,single,secondary,1957,no,no,113,1,-1,0,1,no
86175,42,married,secondary,738,no,no,20,3,-1,0,1,no
36348,30,married,secondary,-306,yes,yes,372,1,186,1,1,no
68143,27,single,secondary,-151,no,no,283,2,-1,0,1,no
29825,55,married,primary,5109,no,no,55,1,-1,0,1,no
62824,45,divorced,tertiary,54,no,yes,34,3,-1,0,1,no
86032,26,single,tertiary,777,yes,no,260,2,463,1,1,no
50241,42,married,primary,2003,yes,no,177,3,-1,0,1,no
48861,37,single,tertiary,1188,no,no,310,1,-1,0,1,yes
69292,54,single,unknown,447,yes,no,742,2,-1,0,1,no
88653,26,single,secondary,-42,no,yes,305,3,-1,0,1,no
44209,30,single,secondary,-838,yes,no,142,2,-1,0,1,no
82783,48,married,secondary,0,no,no,142,1,-1,0,1,no
77440,25,single,tertiary,89,no,no,274,1,-1,0,1,no
82763,46,married,primary,642,no,no,110,4,-1,0,1,no
70497,30,married,secondary,521,yes,no,648,1,-1,0,1,no
92101,34,married,secondary,3814,yes,no,286,2,-1,0,1,no
61525,44,divorced,secondary,51,yes,yes,3094,2,-1,0,1,yes
29385,52,married,primary,10943,no,no,292,1,-1,0,1,yes
23542,32,single,secondary,-578,no,no,115,1,-1,0,1,no
28100,43,divorced,primary,177,no,no,124,1,-1,0,1,no
83271,52,divorced,secondary,280,no,no,8,12,-1,0,1,no
33911,29,single,secondary,-580,yes,no,123,2,-1,0,1,no
68716,37,married,secondary,448,no,no,86,3,-1,0,1,no
6686,27,single,secondary,381,yes,no,143,1,-1,0,1,no
50505,27,single,secondary,317,yes,no,16,10,-1,0,1,no
94619,37,married,tertiary,2401,no,no,203,7,-1,0,1,no
84873,36,married,tertiary,1473,yes,yes,206,2,-1,0,1,no
82217,51,single,secondary,2130,yes,no,126,8,-1,0,1,no
41423,49,married,secondary,1219,yes,no,168,5,-1,0,1,no
10158,39,single,tertiary,763,no,no,192,1,-1,0,1,no
28424,30,married,tertiary,-256,yes,no,51,5,-1,0,1,no
27047,37,married,tertiary,585,yes,no,47,2,-1,0,1,no
8170,26,single,secondary,655,no,no,190,1,-1,0,1,yes
68601,40,single,secondary,134,yes,yes,126,2,-1,0,1,no
3906,33,married,secondary,1536,no,no,258,2,178,4,1,yes
40760,34,married,tertiary,786,yes,yes,250,1,-1,0,1,no
65221,54,married,tertiary,876,no,no,269,3,541,3,1,yes
91707,58,married,secondary,372,no,no,315,2,-1,0,1,no
11117,56,married,primary,690,yes,no,309,2,-1,0,1,no
92714,37,married,secondary,38,no,no,94,13,-1,0,1,no
67145,34,single,secondary,60,no,no,274,2,-1,0,1,no
38634,54,married,primary,258,no,no,29,1,-1,0,1,no
96447,32,married,secondary,11697,yes,no,296,1,-1,0,1,no
82718,42,divorced,secondary,-106,yes,no,95,1,-1,0,1,no
17260,32,married,tertiary,2431,no,no,19,19,-1,0,1,no
39311,47,married,primary,586,no,no,68,2,-1,0,1,no
13354,43,single,tertiary,359,yes,no,899,3,-1,0,1,no
79665,51,single,unknown,196,no,no,98,1,-1,0,1,no
56937,38,married,tertiary,45,no,no,125,4,-1,0,1,no
39227,45,married,secondary,1998,no,no,237,5,-1,0,1,yes
61121,43,single,primary,30,yes,no,379,17,-1,0,1,no
71793,49,divorced,secondary,-39,yes,yes,147,3,-1,0,1,no
17733,34,married,primary,-480,yes,yes,225,1,-1,0,1,no
9443,34,married,tertiary,1539,yes,no,441,1,56,1,1,yes
32129,45,married,secondary,1041,yes,no,238,3,-1,0,1,no
95549,33,married,primary,289,yes,no,309,1,363,4,1,no
26685,56,single,tertiary,1947,no,no,110,1,-1,0,1,yes
36484,49,married,secondary,3570,no,no,62,3,202,2,1,no
89195,53,married,secondary,1225,no,no,70,2,-1,0,1,no
5978,26,single,secondary,2613,no,no,326,1,-1,0,1,yes
44903,33,single,secondary,2979,no,no,326,2,437,1,1,yes
73943,43,divorced,secondary,0,yes,no,125,2,-1,0,1,no
56009,28,married,tertiary,1109,yes,no,89,4,310,5,1,no
42368,44,married,primary,10,yes,no,196,1,-1,0,1,no
13081,38,married,secondary,611,yes,yes,61,3,-1,0,1,no
22141,27,divorced,unknown,2323,yes,no,153,1,-1,0,1,no
77722,39,married,primary,800,yes,no,53,5,175,6,1,no
21348,23,single,secondary,0,yes,no,6,5,350,2,1,no
35235,25,married,unknown,776,yes,no,290,1,-1,0,1,no
55671,55,married,tertiary,4359,no,no,394,2,-1,0,1,no
51184,52,married,secondary,230,yes,yes,89,4,-1,0,1,no
55722,56,married,tertiary,3172,yes,no,139,1,-1,0,1,no
9515,48,married,secondary,1600,no,no,117,1,-1,0,1,no
11294,34,single,secondary,1076,no,no,70,2,-1,0,1,no
63710,54,married,tertiary,16843,no,no,116,1,-1,0,1,no
16997,35,single,tertiary,994,no,no,75,2,-1,0,1,no
13703,37,married,primary,351,no,no,108,1,-1,0,1,no
2162,52,divorced,secondary,225,no,no,58,2,-1,0,1,no
26625,56,married,unknown,7,no,no,305,2,-1,0,1,no
16424,33,married,secondary,108,yes,no,158,2,-1,0,1,no
52899,36,single,secondary,98,no,no,771,1,-1,0,1,yes
71197,27,single,tertiary,-291,yes,no,66,2,-1,0,1,no
15410,33,single,secondary,706,yes,no,329,1,322,1,1,no
95611,41,married,primary,46,no,no,268,1,-1,0,1,no
42016,28,married,secondary,0,yes,yes,210,1,-1,0,1,no
14171,41,married,secondary,235,yes,no,181,1,-1,0,1,no
65282,29,single,tertiary,1788,no,no,353,1,-1,0,1,yes
96365,55,divorced,primary,96,yes,yes,311,2,-1,0,1,no
80914,43,single,tertiary,317,yes,no,106,1,-1,0,1,no
28183,35,married,primary,0,yes,no,90,6,-1,0,1,no
93734,57,married,secondary,1216,yes,no,255,6,-1,0,1,no
40433,38,married,tertiary,1477,no,no,385,3,769,2,1,yes
20776,51,married,tertiary,36,yes,no,535,2,-1,0,1,no
53211,64,married,secondary,1574,no,no,301,3,-1,0,1,yes
52971,34,married,secondary,133,no,no,401,2,187,5,1,yes
83103,29,married,tertiary,465,yes,no,191,1,-1,0,1,no
29989,26,single,tertiary,10086,no,no,475,3,78,2,1,no
9544,44,single,secondary,34,yes,no,404,4,-1,0,1,no
23478,30,single,tertiary,1271,yes,no,303,5,-1,0,1,no
87557,34,single,tertiary,-362,yes,yes,7,6,-1,0,1,no
68838,52,married,unknown,0,yes,no,1486,1,-1,0,1,yes
8848,48,married,tertiary,1571,yes,no,104,3,-1,0,1,no
21831,39,single,secondary,709,yes,no,441,1,-1,0,1,no
82041,55,married,primary,396,no,no,74,2,-1,0,1,no
4043,35,married,secondary,154,yes,no,211,4,-1,0,1,no
6546,44,divorced,tertiary,4,yes,no,312,3,-1,0,1,no
51679,78,married,primary,2735,no,no,418,2,-1,0,1,no
11418,41,married,secondary,5110,yes,no,231,1,-1,0,1,no
4341,71,married,tertiary,383,no,no,388,3,-1,0,1,yes
55752,28,single,secondary,1055,no,no,196,1,-1,0,1,no
60225,44,married,secondary,32,no,yes,241,3,-1,0,1,no
38039,48,married,primary,1910,yes,no,413,2,-1,0,1,no
25021,29,single,tertiary,9407,no,no,267,6,-1,0,1,yes
31835,60,divorced,tertiary,662,no,no,241,4,-1,0,1,no
51926,40,married,secondary,6536,no,no,647,1,-1,0,1,no
5290,35,single,tertiary,670,no,no,278,4,182,2,1,yes
49520,46,married,primary,328,yes,no,526,8,-1,0,1,no
35402,29,married,primary,248,yes,no,113,1,-1,0,1,no
99424,52,married,primary,911,no,no,29,2,-1,0,1,no
67208,40,married,secondary,1819,no,no,398,2,-1,0,1,no
35831,53,married,tertiary,1102,no,no,78,1,-1,0,1,no
61678,58,married,secondary,5087,no,no,135,1,-1,0,1,no
61281,36,married,tertiary,2012,no,no,188,7,-1,0,1,no
63124,30,married,secondary,5,no,no,840,3,-1,0,1,yes
16630,57,married,tertiary,830,yes,yes,662,1,367,1,1,yes
93844,35,married,secondary,2779,no,no,182,2,186,2,1,yes
75766,57,married,secondary,1113,no,no,264,20,-1,0,1,no
39195,28,married,secondary,17,yes,no,269,1,-1,0,1,no
65301,28,married,secondary,6,yes,no,254,1,-1,0,1,no
48578,33,married,secondary,353,yes,no,107,2,-1,0,1,no
39464,50,married,secondary,4117,no,no,530,1,-1,0,1,yes
94387,52,divorced,primary,-644,no,no,119,3,-1,0,1,no
65157,51,married,tertiary,746,no,no,372,5,-1,0,1,yes
94036,34,married,tertiary,1778,no,no,358,1,162,2,1,yes
20449,30,single,tertiary,3410,yes,no,140,1,-1,0,1,no
74495,53,married,tertiary,3634,no,no,211,4,88,8,1,yes
90274,21,single,unknown,-28,yes,no,125,1,-1,0,1,no
34821,48,married,tertiary,2460,no,no,106,11,-1,0,1,no
82899,44,married,primary,1147,yes,no,23,1,-1,0,1,no
33366,29,single,tertiary,13,yes,no,26,6,-1,0,1,no
35974,40,married,primary,72,yes,yes,849,1,-1,0,1,yes
88166,42,married,secondary,1865,yes,no,164,1,-1,0,1,no
96396,45,married,primary,408,no,no,253,2,-1,0,1,no
38160,34,married,secondary,187,yes,no,379,2,-1,0,1,no
94158,28,married,secondary,143,yes,no,44,13,-1,0,1,no
80143,40,married,primary,210,yes,no,22,4,-1,0,1,no
22268,47,married,secondary,5041,no,no,184,1,-1,0,1,no
81444,29,single,tertiary,80,yes,no,15,5,361,1,1,no
76224,57,married,secondary,1230,no,no,78,4,-1,0,1,no
35646,51,married,primary,565,yes,yes,157,7,250,3,1,no
91589,57,married,secondary,919,yes,yes,408,2,-1,0,1,no
2288,57,married,primary,4,no,no,50,5,-1,0,1,no
29266,40,married,secondary,1074,yes,no,90,2,-1,0,1,no
91683,39,married,primary,562,no,no,234,2,-1,0,1,no
49713,25,married,secondary,1782,yes,no,549,1,-1,0,1,no
46581,32,single,secondary,199,yes,no,70,1,336,1,1,no
254,42,married,tertiary,9916,yes,no,306,1,-1,0,1,no
73483,44,married,primary,1880,yes,no,34,1,124,6,1,no
24418,56,married,unknown,0,no,no,83,2,-1,0,1,no
35290,30,single,tertiary,136,yes,yes,208,5,-1,0,1,no
76811,42,divorced,tertiary,266,no,yes,228,1,-1,0,1,no
49771,34,married,secondary,-58,yes,yes,157,2,-1,0,1,no
65577,30,married,tertiary,101,yes,no,88,1,-1,0,1,no
58465,33,married,tertiary,418,yes,no,159,1,-1,0,1,no
37435,42,married,secondary,8036,no,no,948,5,-1,0,1,no
9226,46,married,primary,327,no,yes,145,4,-1,0,1,no
34564,48,divorced,tertiary,3520,yes,no,73,4,-1,0,1,no
24186,30,single,primary,4009,yes,no,260,4,-1,0,1,no
4836,38,married,tertiary,-498,no,no,85,6,-1,0,1,no
18952,40,married,secondary,0,yes,no,225,1,-1,0,1,no
3924,42,divorced,secondary,117,yes,no,105,1,-1,0,1,no
12681,55,married,tertiary,46,no,no,59,4,-1,0,1,no
97150,35,married,secondary,262,no,no,427,1,181,3,1,yes
21974,0,married,secondary,2054,yes,no,447,1,-1,0,1,no
43539,48,divorced,primary,432,yes,no,152,2,-1,0,1,no
75377,27,single,primary,540,no,no,115,1,-1,0,1,no
17853,48,married,secondary,238,yes,yes,118,2,81,1,1,no
88509,32,married,primary,289,yes,no,23,4,-1,0,1,no
21558,37,married,tertiary,16,no,no,280,1,-1,0,1,no
42047,43,divorced,secondary,1612,no,no,119,2,95,3,1,no
48647,31,married,secondary,3584,yes,yes,467,1,-1,0,1,no
87645,27,single,secondary,63,no,no,98,1,-1,0,1,no
41588,42,divorced,secondary,47,yes,yes,141,1,-1,0,1,no
73159,46,married,secondary,3,yes,yes,614,3,-1,0,1,yes
29859,41,married,secondary,7870,yes,no,48,2,-1,0,1,no
36694,40,divorced,secondary,-81,no,yes,186,1,-1,0,1,no
78668,30,married,secondary,419,yes,no,390,1,-1,0,1,no
59480,39,married,tertiary,3,yes,no,1145,1,170,1,1,no
63955,44,married,tertiary,13853,yes,no,1329,3,-1,0,1,no
84401,30,single,secondary,1282,yes,no,346,3,356,2,1,no
3672,28,married,secondary,957,yes,yes,646,3,-1,0,1,no
8358,38,divorced,secondary,410,no,no,63,6,-1,0,1,no
59103,56,divorced,secondary,0,no,no,103,1,-1,0,1,no
13348,45,single,secondary,-688,no,yes,106,1,-1,0,1,no
29499,54,married,tertiary,384,yes,no,30,7,-1,0,1,no
72542,40,married,secondary,4259,no,no,454,4,-1,0,1,no
2935,30,single,secondary,1309,no,no,622,1,-1,0,1,yes
40501,48,married,secondary,2088,no,yes,93,1,-1,0,1,no
2865,35,married,secondary,1397,yes,no,114,4,-1,0,1,no
19643,32,single,tertiary,202,no,no,16,5,-1,0,1,no
25408,48,married,secondary,817,no,no,517,1,282,4,1,yes
64250,43,single,tertiary,1696,yes,no,257,1,474,3,1,yes
46925,41,married,secondary,442,yes,yes,261,3,322,1,1,no
92523,32,single,secondary,2326,yes,no,62,3,-1,0,1,no
81535,51,married,primary,362,yes,no,108,4,272,2,1,no
77958,32,divorced,tertiary,1145,yes,no,580,1,350,4,1,no
82081,60,married,primary,3230,no,no,281,4,-1,0,1,no
59152,27,married,secondary,3415,no,no,266,3,184,1,1,yes
57929,41,divorced,tertiary,1757,no,no,515,13,-1,0,1,no
94224,60,married,primary,130,no,no,374,2,-1,0,1,no
68139,30,married,secondary,1013,yes,no,24,9,-1,0,1,no
8198,31,single,secondary,1014,yes,no,158,4,-1,0,1,no
83406,38,divorced,secondary,889,no,yes,362,1,-1,0,1,no
53546,46,married,unknown,76,no,no,181,2,-1,0,1,no
9270,46,married,secondary,1804,no,no,80,2,-1,0,1,no
21129,45,married,primary,456,yes,no,255,1,-1,0,1,no
32023,30,married,secondary,357,yes,no,659,4,-1,0,1,no
59818,31,single,tertiary,387,no,no,149,1,-1,0,1,no
38325,54,married,tertiary,1460,no,yes,341,3,202,7,1,no
43357,51,married,tertiary,5254,yes,no,134,1,-1,0,1,yes
41527,52,married,tertiary,575,no,no,315,1,-1,0,1,no
26501,53,divorced,primary,-17,yes,yes,508,1,-1,0,1,no
11483,41,married,secondary,1822,no,yes,391,1,-1,0,1,no
72451,75,married,secondary,468,no,no,316,1,-1,0,1,no
90238,52,married,primary,142,no,no,924,5,-1,0,1,no
58839,41,married,secondary,2959,yes,no,110,1,-1,0,1,no
70394,41,married,secondary,-217,yes,no,313,1,349,3,1,no
